iter	Passed	Remaining
623	11743	7076
624	11758	7054
625	11774	7034
626	11791	7014
627	11807	6994
628	11824	6974
629	11840	6954
630	11858	6934
631	11874	6914
632	11890	6893
633	11907	6874
634	11924	6853
635	11940	6833
636	11956	6813
637	11973	6793
638	11989	6773
639	12006	6753
640	12024	6734
641	12040	6714
642	12058	6694
643	12075	6675
644	12091	6654
645	12108	6635
646	12123	6614
647	12139	6594
648	12156	6574
649	12172	6554
650	12189	6534
651	12205	6514
652	12221	6494
653	12237	6474
654	12255	6455
655	12271	6435
656	12288	6415
657	12305	6396
658	12323	6376
659	12345	6359
660	12364	6341
661	12382	6322
662	12401	6303
663	12420	6285
664	12440	6266
665	12458	6248
666	12477	6229
667	12496	6210
668	12515	6192
669	12533	6173
670	12553	6155
671	12575	6138
672	12596	6120
673	12612	6100
674	12628	6080
675	12645	6060
676	12660	6040
677	12678	6021
678	12693	6000
679	12709	5981
680	12726	5961
681	12743	5941
682	12759	5921
683	12775	5902
684	12791	5882
685	12805	5861
686	12822	5841
687	12837	5821
688	12852	5801
689	12869	5782
690	12886	5762
691	12902	5742
692	12917	5722
693	12933	5702
694	12949	5683
695	12964	5662
696	12981	5643
697	12998	5624
698	13016	5605
699	13033	5585
700	13050	5566
701	13067	5547
702	13085	5528
703	13106	5510
704	13127	5492
705	13148	5475
706	13167	5457
707	13186	5438
708	13202	5418
709	13221	5400
710	13238	5381
711	13255	5361
712	13271	5342
713	13288	5322
714	13304	5303
715	13322	5284
716	13340	5265
717	13356	5246
718	13374	5226
719	13393	5208
720	13412	5190
721	13431	5171
722	13449	5152
723	13469	5134
724	13488	5116
725	13507	5097
726	13526	5079
727	13546	5061
728	13565	5042
729	13585	5024
730	13606	5006
731	13625	4988
732	13643	4969
733	13660	4950
734	13678	4931
735	13695	4912
736	13712	4893
737	13729	4874
738	13746	4855
739	13763	4835
740	13780	4816
741	13798	4797
742	13814	4778
743	13829	4758
744	13848	4739
745	13865	4721
746	13881	4701
747	13897	4682
748	13914	4662
749	13931	4643
750	13949	4624
751	13967	4606
752	13983	4586
753	14000	4567
754	14015	4547
755	14032	4529
756	14049	4510
757	14067	4491
758	14084	4472
759	14101	4453
760	14119	4434
761	14136	4415
762	14152	4396
763	14170	4377
764	14185	4357
765	14201	4338
766	14219	4319
767	14236	4300
768	14250	4280
769	14268	4262
770	14285	4243
771	14301	4223
772	14318	4204
773	14334	4185
774	14350	4166
775	14366	4147
776	14382	4127
777	14399	4108
778	14415	4089
779	14430	4070
780	14449	4051
781	14467	4033
782	14486	4014
783	14505	3996
784	14523	3977
785	14541	3959
786	14562	3941
787	14580	3922
788	14601	3904
789	14620	3886
790	14639	3868
791	14657	3849
792	14676	3830
793	14697	3813
794	14715	3794
795	14733	3775
796	14750	3757
797	14766	3737
798	14783	3719
799	14798	3699
800	14813	3680
801	14830	3661
802	14845	3642
803	14861	3622
804	14877	3603
805	14894	3585
806	14912	3566
807	14929	3547
808	14946	3528
809	14962	3509
810	14980	3491
811	14996	3472
812	15013	3453
813	15029	3434
814	15046	3415
815	15062	3396
816	15079	3377
817	15095	3358
818	15113	3340
819	15130	3321
820	15146	3302
821	15164	3283
822	15180	3264
823	15198	3246
824	15214	3227
825	15231	3208
826	15246	3189
827	15263	3170
828	15279	3151
829	15295	3132
830	15311	3113
831	15328	3095
832	15345	3076
833	15362	3057
834	15380	3039
835	15397	3020
836	15415	3001
837	15433	2983
838	15450	2964
839	15467	2946
840	15483	2927
841	15499	2908
842	15518	2890
843	15539	2872
844	15558	2853
845	15580	2836
846	15599	2817
847	15618	2799
848	15639	2781
849	15658	2763
850	15676	2744
851	15695	2726
852	15713	2707
853	15732	2689
854	15753	2671
855	15772	2653
856	15790	2634
857	15807	2616
858	15825	2597
859	15843	2579
860	15860	2560
861	15877	2541
862	15894	2523
863	15912	2504
864	15932	2486
865	15951	2468
866	15969	2449
867	15986	2431
868	16003	2412
869	16019	2393
870	16036	2375
871	16052	2356
872	16070	2337
873	16086	2319
874	16104	2300
875	16120	2281
876	16137	2263
877	16153	2244
878	16169	2225
879	16185	2207
880	16202	2188
881	16217	2169
882	16235	2151
883	16250	2132
884	16266	2113
885	16282	2095
886	16299	2076
887	16315	2057
888	16332	2039
889	16349	2020
890	16365	2002
891	16383	1983
892	16401	1965
893	16418	1946
894	16434	1928
895	16450	1909
896	16467	1890
897	16484	1872
898	16500	1853
899	16516	1835
900	16534	1816
901	16550	1798
902	16580	1781
903	16646	1767
904	16668	1749
905	16687	1731
906	16705	1712
907	16724	1694
908	16742	1676
909	16759	1657
910	16778	1639
911	16795	1620
912	16814	1602
913	16834	1583
914	16852	1565
915	16868	1546
916	16885	1528
917	16902	1509
918	16919	1491
919	16936	1472
920	16953	1454
921	16969	1435
922	16987	1417
923	17002	1398
924	17020	1380
925	17037	1361
926	17054	1343
927	17072	1324
928	17089	1306
929	17105	1287
930	17123	1269
931	17139	1250
932	17156	1232
933	17172	1213
934	17191	1195
935	17207	1176
936	17224	1158
937	17240	1139
938	17301	1123
939	17317	1105
940	17333	1086
941	17348	1068
942	17366	1049
943	17382	1031
944	17402	1012
945	17419	994
946	17436	975
947	17453	957
948	17471	938
949	17488	920
950	17505	901
951	17522	883
952	17541	865
953	17559	846
954	17576	828
955	17592	809
956	17607	791
957	17625	772
958	17645	754
959	17665	736
960	17684	717
961	17702	699
962	17721	680
963	17740	662
964	17760	644
965	17780	625
966	17799	607
967	17818	589
968	17837	570
969	17856	552
970	17877	533
971	17896	515
972	17913	497
973	17931	478
974	17947	460
975	17964	441
976	17981	423
977	17997	404
978	18012	386
979	18028	367
980	18045	349
981	18061	331
982	18079	312
983	18094	294
984	18110	275
985	18126	257
986	18143	238
987	18160	220
988	18176	202
989	18194	183
990	18210	165
991	18226	146
992	18242	128
993	18258	110
994	18273	91
995	18289	73
996	18306	55
997	18322	36
998	18338	18
999	18353	0
