iter	Logloss
0	0.6664234675
1	0.6461345273
2	0.6287974095
3	0.6149152514
4	0.6031879151
5	0.5941198588
6	0.5861123055
7	0.5798848677
8	0.5746056814
9	0.5698281089
10	0.5663624383
11	0.562519394
12	0.5592245719
13	0.5567857382
14	0.554737324
15	0.5523914869
16	0.5503363871
17	0.5487954199
18	0.5471202393
19	0.545831231
20	0.5446619518
21	0.5437507067
22	0.5428455591
23	0.5420085556
24	0.5411696123
25	0.5405814886
26	0.5397635277
27	0.5389866482
28	0.5383365815
29	0.5376460237
30	0.5369526466
31	0.5364097406
32	0.5358830171
33	0.5353729758
34	0.5349981725
35	0.5345359227
36	0.5341387178
37	0.5337435868
38	0.5333404084
39	0.5330292479
40	0.5326806303
41	0.5322941691
42	0.5318609132
43	0.5314837633
44	0.5311700021
45	0.5309244529
46	0.5306723363
47	0.5303036215
48	0.5300731812
49	0.5297891963
50	0.529546177
51	0.529292754
52	0.5290711279
53	0.5288527764
54	0.5286526666
55	0.5284404681
56	0.5282881626
57	0.5280747629
58	0.527831007
59	0.527630494
60	0.5274612197
61	0.5272586832
62	0.5270896869
63	0.5269523349
64	0.5268125432
65	0.526712742
66	0.5265550004
67	0.5264066412
68	0.526320409
69	0.5261189784
70	0.5259685608
71	0.5258371685
72	0.5257392866
73	0.5255633445
74	0.5254540193
75	0.5253572552
76	0.525177956
77	0.5251066673
78	0.5249899754
79	0.5249096802
80	0.5247991155
81	0.5246716328
82	0.5245562239
83	0.5244326711
84	0.5243452354
85	0.5242389605
86	0.5241583277
87	0.5240460507
88	0.5239058062
89	0.5238223621
90	0.5237437758
91	0.5236620588
92	0.5235843567
93	0.5235334231
94	0.5234593029
95	0.5233313534
96	0.523264438
97	0.5231511976
98	0.5230719446
99	0.5229265974
100	0.5227918251
101	0.5226940319
102	0.5226434306
103	0.522609901
104	0.5225006657
105	0.5224184487
106	0.5222945151
107	0.5222231748
108	0.5221457159
109	0.5220355232
110	0.5219590036
111	0.5218964735
112	0.5217896455
113	0.521714193
114	0.521631601
115	0.521572875
116	0.5215032275
117	0.5214071786
118	0.5213675715
119	0.5212961637
120	0.5212046295
121	0.5211184615
122	0.5210254036
123	0.5209685703
124	0.5209297037
125	0.5208805787
126	0.5207936871
127	0.5207255041
128	0.5206730209
129	0.5205936835
130	0.5204990991
131	0.5204594146
132	0.5203823678
133	0.5203208776
134	0.5202751574
135	0.5202068395
136	0.5201418617
137	0.5200619178
138	0.5199813607
139	0.5198964101
140	0.5198502236
141	0.5197447977
142	0.519655588
143	0.5195518818
144	0.5194896556
145	0.5194266734
146	0.5193488555
147	0.5192771853
148	0.5191613827
149	0.5191074869
150	0.5190403206
151	0.5189520194
152	0.5188695512
153	0.5187966703
154	0.518727047
155	0.5186666023
156	0.5185856148
157	0.5184864478
158	0.5184092027
159	0.5183476102
160	0.5182738258
161	0.5182145717
162	0.5181546099
163	0.5180803523
164	0.5179844593
165	0.5179269462
166	0.5178775784
167	0.5178224797
168	0.5177099759
169	0.5176518967
170	0.5176096991
171	0.5175588803
172	0.5175091477
173	0.5174624168
174	0.5174170661
175	0.5173635108
176	0.5173116258
177	0.5173001845
178	0.5172384117
179	0.5171826104
180	0.5171309724
181	0.5170196452
182	0.5169687361
183	0.516912496
184	0.5168610128
185	0.5168288641
186	0.5167451326
187	0.5166607584
188	0.5166079318
189	0.5165529949
190	0.5164649819
191	0.5164144181
192	0.5163505262
193	0.5163084017
194	0.5162510405
195	0.5161867725
196	0.5161147306
197	0.5160474026
198	0.5160027539
199	0.5159270859
200	0.515876345
201	0.5158240794
202	0.5157807387
203	0.515714428
204	0.5156869106
205	0.5156326694
206	0.5155695058
207	0.515530149
208	0.5154906034
209	0.5154361203
210	0.5153911507
211	0.5153278636
212	0.515277368
213	0.5152344553
214	0.5152004351
215	0.5151412
216	0.5150682103
217	0.5150149746
218	0.5149704488
219	0.514933647
220	0.5148840442
221	0.5148413273
222	0.5148065056
223	0.5147402922
224	0.5147320628
225	0.5146549387
226	0.514598897
227	0.5145375955
228	0.5144826399
229	0.5144486766
230	0.5143923098
231	0.5143037658
232	0.5142553719
233	0.5142131578
234	0.514163298
235	0.5141046944
236	0.5140660591
237	0.5140031066
238	0.513966452
239	0.5139013892
240	0.5138414225
241	0.5137934896
242	0.5137347856
243	0.513730563
244	0.5136914798
245	0.5136363037
246	0.5135940084
247	0.5135533531
248	0.5135001703
249	0.5134344437
250	0.5133782825
251	0.5133278647
252	0.5132914405
253	0.5132442242
254	0.5131977175
255	0.5131540994
256	0.5130948733
257	0.5130393456
258	0.5130066044
259	0.5129763144
260	0.5129055474
261	0.5128640327
262	0.5128247493
263	0.5127880722
264	0.5127531548
265	0.5127107832
266	0.5126141754
267	0.5125798063
268	0.5125349329
269	0.5124747695
270	0.5124302393
271	0.5123721823
272	0.5123190893
273	0.512263929
274	0.5122150039
275	0.5121675005
276	0.5121440614
277	0.5121355996
278	0.5120915357
279	0.512020361
280	0.5119761595
281	0.511937663
282	0.5119057767
283	0.5118647418
284	0.5118167677
285	0.5118098747
286	0.5117661539
287	0.5117103472
288	0.5116593893
289	0.5116130738
290	0.511584399
291	0.5115179761
292	0.5114812546
293	0.5114556669
294	0.5114013821
295	0.5113672987
296	0.5113144243
297	0.5112773612
298	0.5112205733
299	0.5111960703
300	0.5111717481
301	0.5111182891
302	0.511088522
303	0.5110463097
304	0.5110095041
305	0.5109734566
306	0.5109489605
307	0.5108984806
308	0.5108703013
309	0.5108127877
310	0.5107663536
311	0.5107215976
312	0.5107031491
313	0.5106291742
314	0.5105916177
315	0.5105676624
316	0.5105317418
317	0.5105052825
318	0.5104564665
319	0.5104252617
320	0.5103818025
321	0.5103441295
322	0.5103020996
323	0.5102629045
324	0.5102215483
325	0.5101806676
326	0.5101414004
327	0.5101223169
328	0.5100718555
329	0.5100404264
330	0.5100152481
331	0.5099709749
332	0.5099421708
333	0.5099106593
334	0.5098667212
335	0.5098343551
336	0.5097920448
337	0.5097578657
338	0.5097230474
339	0.5097008232
340	0.5096556432
341	0.5096211849
342	0.5095769746
343	0.5095284635
344	0.5094940152
345	0.5094478193
346	0.5094005338
347	0.5093666096
348	0.5093052851
349	0.5092707486
350	0.5092452534
351	0.5091988624
352	0.5091945058
353	0.5091615136
354	0.5091284934
355	0.5091023032
356	0.5090265308
357	0.5089799194
358	0.5089507673
359	0.5089121053
360	0.5088730203
361	0.5088311144
362	0.5088018267
363	0.508773318
364	0.508736813
365	0.5086970243
366	0.5086423956
367	0.508614842
368	0.5085550481
369	0.5085289835
370	0.5084806584
371	0.5084476179
372	0.5084205749
373	0.5083853066
374	0.5083444971
375	0.5083102001
376	0.5082644452
377	0.5082297512
378	0.5081923162
379	0.5081558679
380	0.5081200529
381	0.5080994145
382	0.508040907
383	0.5079915066
384	0.5079603255
385	0.5079334002
386	0.5078920401
387	0.5078668398
388	0.5078131901
